"","Var1","Freq"
"780","TMPRSS12",1
"781","TNFAIP8L2",1
"782","TNFAIP8L2-SCNM1",1
"783","TNFRSF6B",1
"784","TNRC18",1
"785","TOPORS",1
"786","TPCN2",1
"788","TPD52L2",1
"789","TRAM1",1
"790","TRPA1",1
"791","TSFM",1
"792","TSHZ2",1
"793","TSPAN3",1
"794","TSPAN31",1
"795","TTC26",1
"796","TTLL13P",1
"797","TUFT1",1
"798","TUSC1",1
"799","TXNDC5",1
"800","TYMP",1
"801","TYRO3P",1
"802","UBE2Q2",1
"804","UBE2Z",1
"805","UBN2",1
"806","UCKL1",1
"807","UCKL1-AS1",1
"808","UNC45A",1
"809","UQCC1",1
"810","USP42",1
"811","USP43",1
"812","VAPB",1
"813","VCPIP1",1
"814","VPS33B",1
"815","VPS33B-DT",1
"816","VPS37D",1
"817","VPS72",1
"818","VXN",1
"819","WARS2",1
"820","WARS2-AS1",1
"821","WARS2-IT1",1
"822","WDR93",1
"823","WIF1",1
"824","WIPI2",1
"825","XKR9",1
"826","XPOT",1
"827","YEATS4",1
"828","YTHDF1",1
"829","YWHAG",1
"831","ZBTB39",1
"832","ZBTB46",1
"833","ZBTB46-AS1",1
"834","ZC2HC1A",1
"835","ZC3HAV1",1
"836","ZC3HAV1L",1
"837","ZDHHC17",1
"838","ZDHHC4",1
"840","ZFAND3",1
"841","ZFHX4",1
"842","ZFHX4-AS1",1
"843","ZFP64",1
"844","ZGPAT",1
"845","ZNF217",1
"846","ZNF512B",1
"847","ZNF641",1
"848","ZNF687",1
"849","ZNF687-AS1",1
"850","ZNF697",1
"852","ZNF710",1
"853","ZNF710-AS1",1
"854","ZNF774",1
"855","ZNF831",1
