"","Var1","Freq"
"657","MYH3",1
"658","MYH4",1
"659","MYH8",1
"660","MYO10",1
"661","MYO1A",1
"662","MYOM2",1
"664","NAB2",1
"665","NABP2",1
"666","NACA",1
"667","NAP1L1",1
"668","NARF",1
"669","NAT10",1
"670","NAT8L",1
"671","NBPF18P",1
"672","NBPF26",1
"673","NBPF7",1
"674","NBPF8",1
"675","NCAPH2",1
"676","NCOA2",1
"677","NCOA7",1
"678","NDUFA4L2",1
"679","NDUFAF8",1
"680","NDUFB2",1
"681","NDUFB2-AS1",1
"682","NDUFB6",1
"683","NELFA",1
"684","NEMP1",1
"685","NEO1",1
"686","NEU3",1
"687","NEUROD4",1
"688","NFATC2",1
"689","NFKBIZ",1
"690","NFS1",1
"691","NGRN",1
"692","NIT2",1
"693","NKAIN4",1
"694","NLRP3",1
"695","NOL7",1
"696","NOTCH2",1
"697","NOTCH2NLR",1
"698","NOTUM",1
"699","NPB",1
"700","NPBWR2",1
"701","NPFFR2",1
"702","NPLOC4",1
"703","NPTN",1
"704","NPTN-IT1",1
"705","NR4A1",1
"706","NRG4",1
"707","NRN1",1
"708","NSD2",1
"709","NSMCE3",1
"710","NTSR1",1
"711","NUAK2",1
"712","NUCKS1",1
"713","NUMA1",1
"715","NWD2",1
"716","NXPE3",1
"717","NXPH4",1
"718","OAZ3",1
"719","OCM",1
"720","ODF3B",1
"721","ODF3L1",1
"722","OGFOD3",1
"723","OGFR",1
"724","OGFR-AS1",1
"725","OPRL1",1
"726","OR10A7",1
"727","OR10P1",1
"728","OR11L1",1
"729","OR13G1",1
"730","OR14A16",1
"731","OR14A2",1
"732","OR14K1",1
"733","OR14L1",1
"734","OR1C1",1
"735","OR2AJ1",1
"736","OR2AK2",1
"737","OR2AP1",1
"738","OR2AT4",1
"739","OR2B11",1
"740","OR2C3",1
"741","OR2G2",1
"742","OR2G3",1
"743","OR2L5",1
"744","OR2L8",1
"745","OR2T8",1
"746","OR2W3",1
"747","OR4F21",1
"748","OR5AP2",1
"749","OR5AR1",1
"750","OR5M1",1
"751","OR5M10",1
"752","OR5M11",1
"753","OR5M3",1
"754","OR5M8",1
"755","OR5M9",1
"756","OR6C1",1
"757","OR6C2",1
"758","OR6C3",1
"759","OR6C4",1
"760","OR6C6",1
"761","OR6C65",1
"762","OR6C68",1
"763","OR6C70",1
"764","OR6C74",1
"765","OR6C75",1
"766","OR6C76",1
"767","OR6F1",1
"768","OR7E47P",1
"769","OR8H1",1
"770","OR8J1",1
"771","OR8K1",1
"772","OR8K3",1
"773","OR8S1",1
"774","OR8U1",1
"775","OR8U3",1
"776","OR9K2",1
"777","ORMDL2",1
"778","OS9",1
"779","OSBPL2",1
"780","OSBPL8",1
"781","OTOR",1
"782","OTULIN",1
"783","OTULINL",1
"784","OXLD1",1
"785","P2RY2",1
"786","P2RY6",1
"787","P4HA3",1
"788","P4HB",1
"789","PAAF1",1
"791","PAK1",1
"792","PAMR1",1
"793","PAN2",1
"794","PAPOLB",1
"795","PARP12",1
"796","PARP8",1
"797","PCNP",1
"798","PCSK2",1
"799","PCYT2",1
"800","PDE6G",1
"801","PDGFRA",1
"802","PDHX",1
"804","PEX11A",1
"805","PEX2",1
"806","PFN1",1
"807","PFN1P2",1
"808","PGM2",1
"809","PGM2L1",1
"810","PHACTR1",1
"811","PHACTR3",1
"812","PHACTR3-AS1",1
"813","PHF20",1
"816","PHLDA1",1
"817","PHOSPHO1",1
"818","PI15",1
"819","PI16",1
"820","PI4KB",1
"821","PIM1",1
"822","PIP4K2C",1
"823","PIP5K1A",1
"824","PIP5K1P1",1
"825","PIRT",1
"826","PJA2",1
"828","PKIA-AS1",1
"829","PKIB",1
"830","PKP4",1
"831","PLEKHA5",1
"832","PLEKHB1",1
"833","PLIN1",1
"835","PMS2",1
"836","POGZ",1
"837","POLD3",1
"838","POLG",1
"839","POLN",1
"840","POMK",1
"841","POU6F1",1
"842","PPDPF",1
"843","PPFIA1",1
"844","PPIAL4A",1
"845","PPIL1",1
"846","PPM1H",1
"847","PPME1",1
"848","PPP1R27",1
"849","PPP1R3B",1
"850","PPP1R3G",1
"851","PPP1R42",1
"852","PPP4R1L",1
"853","PRAG1",1
"854","PRAME",1
"855","PRC1",1
"856","PRC1-AS1",1
"857","PRDM14",1
"858","PREX2",1
"859","PRIM1",1
"860","PRPF6",1
"861","PRUNE1",1
"862","PSMA7",1
"863","PSMB4",1
"864","PSMD4",1
"866","PTGES3",1
"867","PTK6",1
"869","PTPN9",1
"871","PTPRK",1
"872","PTPRR",1
"873","PTTG2",1
"874","PTTG3P",1
"875","PVALEF",1
"876","PVT1",1
"877","PYCR1",1
"878","PYM1",1
"879","QSER1",1
"880","R3HDM2",1
"881","RAB19",1
"882","RAB21",1
"883","RAB22A",1
"884","RAB29",1
"885","RAB36",1
"887","RAB40B",1
"888","RAB6A",1
"889","RAC1",1
"890","RAC3",1
"891","RADIL",1
"892","RALYL",1
"893","RANBP9",1
"895","RASL11B",1
"896","RASSF3",1
"897","RBAK",1
"898","RBAK-RBAKDN",1
"899","RBBP8NL",1
"900","RBIS",1
"901","RBM12",1
"902","RBM39",1
"903","RBMS2",1
"904","RCCD1",1
"905","RCN2",1
"906","RCVRN",1
"909","RDH16",1
"910","RDH5",1
"911","REC114",1
"912","REG4",1
"913","RELL1",1
"914","RELT",1
"915","RETREG1",1
"916","REXO1L2P",1
"917","RFC1",1
"918","RFC2",1
"919","RFNG",1
"920","RFX5",1
"921","RGMA",1
"922","RGS19",1
"923","RHCG",1
"924","RIIAD1",1
"925","RIOK1",1
"926","RLBP1",1
"927","RNASEK",1
"928","RNASEK-C17orf49",1
"929","RNF146",1
"930","RNF167",1
"931","RNF169",1
"932","RNF170",1
"933","RNF182",1
"934","RNF216",1
"935","RNF217",1
"936","RNF41",1
"937","RNF8",1
"938","RNVU1-19",1
"939","RNVU1-20",1
"940","RNVU1-4",1
"941","ROMO1",1
"942","ROPN1L",1
"943","ROPN1L-AS1",1
"944","RORC",1
"945","RPL24",1
"946","RPL35A",1
"948","RPL9",1
"949","RPP40",1
"950","RPS21",1
"951","RPS3",1
"952","RPSAP52",1
"953","RPTN",1
"954","RREB1",1
"955","RRS1",1
"956","RRS1-AS1",1
"957","RSF1",1
"958","RSPH10B",1
"959","RSPH10B2",1
"960","RSPH14",1
"961","RSPO3",1
"962","RTEL1",1
"963","RTEL1-TNFRSF6B",1
"964","RTF2",1
"965","S100A10",1
"966","S100A11",1
"967","SALL4",1
"968","SAMD10",1
"970","SARNP",1
"973","SCARNA22",1
"974","SCARNA27",1
"975","SCAT8",1
"976","SCCPDH",1
"977","SCFD2",1
"978","SCN8A",1
"979","SCNM1",1
"980","SCO1",1
"981","SCO2",1
"982","SDR9C7",1
"983","SEC22B",1
"984","SECTM1",1
"985","SELENBP1",1
"986","SEMA4B",1
"987","SEMA6C",1
"988","SENP7",1
"989","SERINC1",1
"990","SETDB1",1
"991","SGK3",1
"992","SH2D7",1
"993","SHANK3",1
"994","SHMT2",1
"995","SIN3A",1
"996","SIRT5",1
"997","SIRT7",1
"999","SLC11A2",1
"1000","SLC13A5",1
"1001","SLC16A11",1
"1002","SLC16A13",1
"1003","SLC16A3",1
"1005","SLC17A9",1
"1006","SLC1A2",1
